request,response,intent_class
"['saya', 'ingin', 'buat', 'software']","['tentu', 'saja', 'kami', 'dapat', 'buat']",IT
"['jasa', 'ini', 'jual', 'dalam', 'bentuk', 'apa']","['kami', 'jual', 'jasa', 'ini', 'dalam', 'bentuk', 'konsultasi', 'permasalahaan', 'konsultasi', 'tools', 'dan', 'buat', 'sistem', 'atau', 'project']",produk3
"['jelas', 'tentang', 'data', 'entry', '', 'database', 'administration']","['kami', 'tawar', 'jasa', 'data', 'entry', 'service', 'dan', 'data', 'reporting', 'service']",produkdataentry
"['apa', 'yang', 'maksud', 'data', 'entry', 'service']","['data', 'entry', 'service', 'diri', 'dari', 'data', 'digitization', 'and', 'conversion', 'data', 'entry', 'with', 'microsoft', 'excel', 'and', 'spreadsheet', 'dan', 'data', 'entry', 'with', 'database']",dataentryservice
"['apa', 'yang', 'maksud', 'dengan', 'data', 'digitization', 'and', 'conversion']","['data', 'digitization', 'and', 'conversion', 'adalah', 'ubah', 'informasi', 'dari', 'bentuk', 'fisik', 'atau', 'analog', 'jadi', 'format', 'digital', 'untuk', 'simpan', 'kelola', 'dan', 'akses', 'yang', 'lebih', 'efisien']",Digitization
"['apa', 'itu', 'data', 'entry', 'with', 'microsoft', 'excel', 'and', 'spreadsheet']","['data', 'entry', 'with', 'microsoft', 'excel', 'and', 'spreadsheet', 'adalah', 'menginput', 'dan', 'atur', 'data', 'dalam', 'perangkat', 'lunak', 'excel', 'atau', 'aplikasi', 'spreadsheet', 'rupa', 'untuk', 'fasilitas', 'analisis', 'data', 'hitung', 'dan', 'lapor', '', 'misal', '', 'vba', '', 'makro', 'excel', '']",dataentry
"['apa', 'itu', 'data', 'entry', 'with', 'database']","['data', 'entry', 'with', 'database', 'adalah', 'entri', 'data', 'dengan', 'basis', 'data', 'libat', 'masuk', 'informasi', 'ke', 'dalam', 'sistem', 'elektronik', 'struktur', 'untuk', 'simpan', 'ambil', 'dan', 'kelola', 'yang', 'organisir']",dataentrydatabase
"['apa', 'yang', 'maksud', 'data', 'reporting', 'service']","['data', 'reporting', 'service', 'diri', 'dari', 'finance', 'reporting', 'hr', 'and', 'payroll', 'reporting', 'dan', 'custom', 'reporting']",DataReportingService
"['apa', 'yang', 'maksud', 'dengan', 'finance', 'reporting']","['finance', 'reporting', 'adalah', 'buat', 'dan', 'saji', 'data', 'uang', 'untuk', 'nilai', 'status', 'uang', 'organisasi']",FinanceReporting
"['apa', 'yang', 'maksud', 'dengan', 'hr', 'and', 'payroll', 'reporting']","['kompilasi', 'dan', 'saji', 'data', 'kait', 'karyawan', 'untuk', 'manajemen', 'tenaga', 'kerja', 'dan', 'pemrosesan', 'gaji', 'yang', 'efektif']",HRandPayrollReporting
"['apa', 'yang', 'maksud', 'dengan', 'custom', 'reporting']","['buat', 'lapor', 'data', 'yang', 'sesuai', 'untuk', 'penuh', 'syarat', 'spesifik', 'dan', 'unik', 'seperti', 'puas', 'langgan', 'dan', 'cerdas', 'bisnis']",CustomReporting
"['apa', 'yang', 'maksud', 'data', 'analytics', 'solution']","['data', 'analytics', 'solution', 'diri', 'dari', 'data', 'analytic', '', 'research', 'consulting', 'dan', 'end', 'to', 'end', 'problem', 'solving', 'analysis']",DataAnalyticsSolution
"['apa', 'yang', 'maksud', 'dengan', 'data', 'analytic', '', 'research', 'consulting']","['data', 'analytic', '', 'research', 'consulting', 'adalah', 'buah', 'konsultasi', 'kait', 'dengan', 'tools', 'data', 'analytics', 'seperti', 'dashboard', 'atau', 'konsultasi', 'cara', 'personal', 'dengan', 'konsultan', 'yang', 'hitung', 'dasar', 'waktu']",DataAnalytic&ResearchConsulting
"['seperti', 'apa', 'itu', 'konsultasi', 'tools', 'analytics']","['kami', 'akan', 'beri', 'saran', 'dan', 'implementasi', 'alat', 'visualisasi', 'data', 'seperti', 'tableau', 'power', 'bi', 'dll']",tools
"['seperti', 'apa', 'itu', 'problem', 'solving', 'consulting']","['problem', 'solving', 'consulting', 'fokus', 'pada', 'kembang', 'solusi', 'yang', 'sesuai', 'untuk', 'atas', 'masalah', 'dan', 'tantang', 'kait', 'data', 'dalam', 'organisasi', 'anda']",ProblemSolvingConsulting
"['seperti', 'apa', 'konsultasi', 'end', 'to', 'end', 'problem', 'solving', 'analysis']","['kami', 'akan', 'layan', 'anda', 'lalu', 'proses', 'ujung', 'ke', 'ujung', '', 'fgd', '', 'team', 'analysis', 'gap', 'analysis', 'data', 'preparation', 'problem', 'analysis', '', 'ex', '', 'dashboard', '', 'report', 'recommendation', 'performance', 'consulting']",EndtoEndProblemSolvingAnalysis
"['bagaimana', 'cara', 'laksana', 'focus', 'group', 'discussion']","['focus', 'group', 'discussion', '', 'fgd', '', 'adalah', 'suatu', 'teknik', 'kumpul', 'data', 'lalu', 'diskusi', 'kelompok', 'arah', 'tuju', 'utama', 'fgd', 'adalah', 'dapat', 'wawas', 'dalam', 'dari', 'perspektif', 'serta', 'kait', 'suatu', 'topik', 'tentu']",FGD
"['apa', 'tuju', 'dari', 'focus', 'group', 'discussion']","['tuju', 'dari', 'focus', 'group', 'discussion', 'libat', 'paham', 'lebih', 'baik', 'hadap', 'pandang', 'dapat', 'dan', 'alam', 'serta', 'kait', 'dengan', 'suatu', 'topik', 'kaji']",FGD
"['siapa', 'yang', 'baik', 'libat', 'dalam', 'fgd']","['dalam', 'fgd', 'baik', 'libat', 'serta', 'yang', 'milik', 'alam', 'atau', 'tahu', 'yang', 'relevan', 'dengan', 'topik', 'diskusi', 'biasa', 'diri', 'dari', '6-10', 'serta', 'yang', 'pandu', 'oleh', 'orang', 'moderator']",FGD
"['bagaimana', 'cara', 'analis', 'hasil', 'fgd']","['laksana', 'fgd', 'libat', 'moderator', 'yang', 'pandu', 'diskusi', 'catat', 'hasil', 'diskusi', 'dan', 'serta', 'yang', 'beri', 'pandang', 'serta', 'dapat', 'mereka', 'hasil', 'dari', 'fgd', 'kemudian', 'dapat', 'analis', 'untuk', 'dapat', 'paham', 'dalam', 'kait', 'dengan', 'topik', 'yang', 'bahas']",FGD
"['apa', 'yang', 'maksud', 'dengan', 'siap', 'data']","['data', 'preparation', 'adalah', 'proses', 'siap', 'dan', 'bersih', 'data', 'untuk', 'analisis', 'lebih', 'lanjut', 'tahap', 'data', 'preparation', 'libat', 'kumpul', 'bersih', 'transformasi', 'dan', 'integrasi', 'data']",datapreparation
"['bagaimana', 'tahap', 'data', 'preparation', 'laku']","['tahap', 'data', 'preparation', 'cakup', 'pilih', 'data', 'yang', 'relevan', 'identifikasi', 'dan', 'tangan', 'data', 'yang', 'hilang', 'atau', 'tidak', 'valid', 'hapus', 'duplikasi', 'serta', 'transformasi', 'format', 'data', 'jika', 'perlu']",datapreparation
"['apa', 'saja', 'tuju', 'dari', 'data', 'preparation']","['tuju', 'dari', 'data', 'preparation', 'adalah', 'tingkat', 'kualitas', 'data', 'kurang', 'salah', 'dan', 'pasti', 'data', 'siap', 'untuk', 'guna', 'dalam', 'analisis', 'atau', 'model']",datapreparation
"['apa', 'itu', 'gap', 'analysis']","['gap', 'analysis', 'adalah', 'proses', 'banding', 'antara', 'ada', 'saat', 'ini', '', 'current', 'state', '', 'dengan', 'ada', 'yang', 'ingin', '', 'desired', 'state', '', 'untuk', 'identifikasi', 'beda', 'atau', 'senjang', '', '', 'gap', '', 'di', 'antara', 'dua']",GapAnalysis
"['bagaimana', 'cara', 'laku', 'gap', 'analysis']","['cara', 'laku', 'gap', 'analysis', 'libat', 'langkah', 'seperti', 'identifikasi', 'tuju', 'atau', 'standar', 'yang', 'ingin', 'nilai', 'kondisi', 'saat', 'ini', 'dan', 'analis', 'beda', 'di', 'antara', 'dua']",GapAnalysis
"['apa', 'peran', 'gap', 'analysis', 'dalam', 'proses', 'kembang', 'atau', 'baik']","['gap', 'analysis', 'main', 'peran', 'penting', 'dalam', 'tentu', 'area', 'di', 'mana', 'baik', 'atau', 'kembang', 'perlu', 'untuk', 'capai', 'tuju', 'yang', 'ingin']",GapAnalysis
"['apa', 'langkah', 'yang', 'libat', 'dalam', 'gap', 'analysis']","['langkah', 'dalam', 'gap', 'analysis', 'libat', 'kumpul', 'data', 'evaluasi', 'identifikasi', 'gap', 'dan', 'rumus', 'rencana', 'tindak', 'untuk', 'atas', 'senjang', 'yang', 'identifikasi']",GapAnalysis
"['apa', 'yang', 'maksud', 'dengan', 'problem', 'analysis']","['problem', 'analysis', 'adalah', 'proses', 'identifikasi', 'analisis', 'dan', 'pecah', 'masalah', 'yang', 'mungkin', 'muncul', 'dalam', 'suatu', 'konteks', 'atau', 'organisasi']",ProblemAnalysis
"['bagaimana', 'dashboard', 'dapat', 'guna', 'dalam', 'analisis', 'masalah']","['dashboard', 'adalah', 'alat', 'visual', 'yang', 'dapat', 'guna', 'dalam', 'analisis', 'masalah', 'untuk', 'presentasi', 'data', 'cara', 'efektif', 'dashboard', 'saji', 'informasi', 'cara', 'intuitif', 'dan', 'mungkin', 'guna', 'untuk', 'lihat', 'tren', 'pola', 'dan', 'banding', 'dengan', 'cepat']",ProblemAnalysis
"['apa', 'manfaat', 'guna', 'dashboard', 'dalam', 'proses', 'analisis']","['manfaat', 'guna', 'dashboard', 'dalam', 'analisis', 'masalah', 'liput', 'mampu', 'untuk', 'dengan', 'cepat', 'identifikasi', 'masalah', 'paham', 'dampak', 'dan', 'buat', 'putus', 'dasar', 'informasi', 'yang', 'sedia']",ProblemAnalysis
"['bagaimana', 'langkah', 'problem', 'analysis', 'dengan', 'guna', 'dashboard']","['langkah', 'problem', 'analysis', 'dengan', 'guna', 'dashboard', 'libat', 'pilih', 'indikator', 'kunci', 'pantau', 'data', 'cara', 'real-time', 'identifikasi', 'tren', 'atau', 'anomali', 'dan', 'ambil', 'tindak', 'dasar', 'temu', 'analisis']",ProblemAnalysis
"['apa', 'itu', 'proses', 'report', 'hasil', 'analisis']","['proses', 'lapor', 'hasil', 'analisis', 'libat', 'susun', 'dan', 'saji', 'informasi', 'yang', 'temu', 'lama', 'analisis', 'biasa', 'dalam', 'bentuk', 'lapor', 'atau', 'presentasi']",Report
"['bagaimana', 'libat', 'dashboard', 'dalam', 'report', 'hasil', 'analisis']","['guna', 'dashboard', 'dalam', 'lapor', 'hasil', 'analisis', 'mungkin', 'visualisasi', 'data', 'yang', 'efektif', 'dan', 'beri', 'gambar', 'seluruh', 'tentang', 'temu', 'analisis', 'dashboard', 'dapat', 'guna', 'untuk', 'komunikasi', 'informasi', 'cara', 'jelas', 'dan', 'mudah', 'paham']",Report
"['apa', 'manfaat', 'dari', 'guna', 'dashboard', 'dalam', 'proses', 'report']","['manfaat', 'dari', 'guna', 'dashboard', 'dalam', 'lapor', 'masuk', 'mampu', 'untuk', 'saji', 'data', 'cara', 'dinamis', 'fasilitas', 'ambil', 'putus', 'dasar', 'informasi', 'real-time', 'dan', 'tingkat', 'transparansi', 'dalam', 'sampai', 'hasil', 'analisis']",Report
"['bagaimana', 'rekomendasi', 'susun', 'telah', 'laku', 'analisis']","['rekomendasi', 'susun', 'telah', 'laku', 'analisis', 'dengan', 'fokus', 'pada', 'tingkat', 'kerja', 'bisnis', 'optimal', 'proses', 'atau', 'atas', 'hambat', 'yang', 'temu']",Recommendation
"['apa', 'tuju', 'dari', 'beri', 'rekomendasi', 'telah', 'analisis']","['tuju', 'beri', 'rekomendasi', 'telah', 'analisis', 'adalah', 'untuk', 'beri', 'pandu', 'kepada', 'mang', 'penting', 'bisnis', 'dalam', 'ambil', 'putus', 'strategis', 'yang', 'dapat', 'tingkat', 'profitabilitas', 'efisiensi', 'atau', 'unggul', 'kompetitif']",Recommendation
"['apa', 'langkah', 'dalam', 'susun', 'rekomendasi', 'dasar', 'hasil', 'analisis']","['langkah', 'dalam', 'susun', 'rekomendasi', 'dasar', 'hasil', 'analisis', 'libat', 'identifikasi', 'peluang', 'atau', 'tantang', 'bisnis', 'nilai', 'solusi', 'yang', 'relevan', 'dan', 'susun', 'rencana', 'tindak', 'yang', 'dapat', 'implementasi', 'cara', 'efektif', 'contoh', 'telah', 'analis', 'data', 'jual', 'rekomendasi', 'untuk', 'tingkat', 'strategi', 'pasar', 'digital', 'guna', 'target', 'pasar', 'yang', 'lebih', 'luas', 'hal', 'ini', 'dapat', 'laku', 'dengan', 'kuat', 'hadir', 'online', 'manfaat', 'media', 'sosial', 'dan', 'sesuai', 'kampanye', 'iklan', 'untuk', 'tarik', 'langgan', 'potensial']",Recommendation
"['apa', 'yang', 'maksud', 'dengan', 'performance', 'consulting']","['performance', 'consulting', 'adalah', 'suatu', 'dekat', 'holistik', 'yang', 'tidak', 'hanya', 'beri', 'rekomendasi', 'tetapi', 'juga', 'libat', 'identifikasi', 'analisis', 'dan', 'baik', 'hadap', 'bagai', 'aspek', 'yang', 'dapat', 'tingkat', 'kerja', 'suatu', 'organisasi', 'atau', 'individu']",performanceconsulting
"['apa', 'itu', 'performance', 'consulting']","['performance', 'consulting', 'tidak', 'hanya', 'batas', 'pada', 'beri', 'solusi', 'atau', 'rekomendasi', 'tetapi', 'juga', 'libat', 'upaya', 'dalam', 'nilai', 'dan', 'tingkat', 'faktor', 'yang', 'pengaruh', 'kerja', 'masuk', 'proses', 'bijak', 'budaya', 'organisasi', 'dan', 'mampu', 'individu']",performanceconsulting
"['bagaimana', 'cara', 'kerja', 'performance', 'consulting']","['cara', 'kerja', 'performance', 'consulting', 'libat', 'kolaborasi', 'yang', 'erat', 'antara', 'konsultan', 'dan', 'klien', 'untuk', 'identifikasi', 'masalah', 'kerja', 'analis', 'sebab', 'dan', 'rancang', 'solusi', 'yang', 'dapat', 'terap', 'cara', 'efektif', 'untuk', 'capai', 'hasil', 'yang', 'ingin']",performanceconsulting
"['apa', 'yang', 'maksud', 'data', 'engineering', 'service']","['kami', 'akan', 'tingkat', 'bisnis', 'anda', 'lalu', '', 'kelola', 'data', 'anda', 'dengan', 'lancar', '', 'dbeaver', '', 'buat', 'arsitektur', 'yang', 'sesuai', 'dengan', 'butuh', 'spesifik', 'anda', 'sederhana', 'alir', 'data', 'anda', '', 'etl', '', 'contoh', '', 'airflow', 'apache', 'nifi', 'hitung', 'dan', 'simpan', 'data', 'anda', 'di', 'gcp', 'pasti', 'integritas', 'data', '', 'bersih', 'dan', 'tervalidasi', '', 'sehingga', 'anda', 'dapat', 'buat', 'ambil', 'putus', 'yang', 'akurat', 'dan', 'andal']",DataEngineeringService
"['apa', 'yang', 'maksud', 'arsitektur']","['arsitektur', 'dalam', 'konteks', 'data', 'engineering', 'service', 'rujuk', 'pada', 'rancang', 'dan', 'struktur', 'seluruh', 'sistem', 'untuk', 'kelola', 'dan', 'proses', 'data', 'arsitektur', 'ini', 'cakup', 'komponen', 'seperti', 'simpan', 'data', '', 'misal', '', 'google', 'cloud', 'storage', '', 'platform', 'untuk', 'eksekusi', 'etl', '', 'extract', 'transform', 'load', '', 'seperti', 'apache', 'airflow', 'serta', 'alat', 'lain', 'seperti', 'apache', 'nifi']",Arsitektur
"['arsitektur', 'seperti', 'apa', 'yang', 'maksud']","['arsitektur', 'data', 'engineering', 'service', 'rancang', 'untuk', 'pasti', 'sedia', 'andal', 'dan', 'skalabilitas', 'sistem', 'dalam', 'kelola', 'data', 'dengan', 'milik', 'arsitektur', 'yang', 'kokoh', 'anda', 'dapat', 'pasti', 'bahwa', 'data', 'olah', 'dengan', 'efisien', 'integritas', 'tetap', 'jaga', 'dan', 'dapat', 'akses', 'dengan', 'mudah', 'untuk', 'perlu', 'analisis', 'dan', 'ambil', 'putus']",Arsitektur
"['etl', 'itu', 'apa']","['etl', 'adalah', 'singkat', 'dari', 'extract', 'transform', 'load', 'ini', 'rupa', 'proses', 'fundamental', 'dalam', 'data', 'engineering', 'service']",ETL
"['jasa', 'seperti', 'apa', 'yang', 'beri', 'untuk', 'etl']","['jasa', 'etl', 'libat', 'ambil', 'data', 'dari', 'bagai', 'sumber', '', 'extract', '', 'laku', 'transformasi', 'pada', 'data', 'untuk', 'pasti', 'bersih', 'validitas', 'dan', 'struktur', 'yang', 'sesuai', '', 'transform', '', 'serta', 'muat', 'data', 'yang', 'sudah', 'olah', 'ke', 'dalam', 'simpan', 'yang', 'sesuai', 'seperti', 'data', 'warehouse', 'atau', 'database', '', 'load', '']",ETL
"['untuk', 'apa', 'etl']","['proses', 'etl', 'sangat', 'penting', 'untuk', 'pasti', 'bahwa', 'data', 'yang', 'hasil', 'atau', 'simpan', 'dalam', 'suatu', 'sistem', 'milik', 'kualitas', 'yang', 'baik', 'struktur', 'dengan', 'benar', 'dan', 'siap', 'guna', 'untuk', 'analisis', 'bisnis', 'atau', 'perlu', 'ambil', 'putus']",ETL
"['apa', 'itu', 'validasi', 'data']","['validasi', 'data', 'adalah', 'proses', 'pasti', 'bahwa', 'data', 'yang', 'milik', 'oleh', 'suatu', 'sistem', 'penuh', 'kriteria', 'kualitas', 'tentu', 'dan', 'sesuai', 'dengan', 'standar', 'yang', 'tetap']",Validasidata
"['jasa', 'seperti', 'apa', 'itu', 'validasi', 'data']","['jasa', 'validasi', 'data', 'dalam', 'data', 'engineering', 'service', 'libat', 'terap', 'atur', 'dan', 'skenario', 'validasi', 'untuk', 'periksa', 'akurat', 'lengkap', 'dan', 'konsistensi', 'data', 'hal', 'ini', 'dapat', 'cakup', 'periksa', 'format', 'batas', 'nilai', 'atau', 'konsistensi', 'rasional', 'antar', 'data']",Validasidata
"['gimana', 'cara', 'validasi', 'data']","['proses', 'validasi', 'data', 'laku', 'guna', 'algoritma', 'atau', 'atur', 'bisnis', 'yang', 'telah', 'tentu', 'belum', 'jasa', 'ini', 'tuju', 'untuk', 'pasti', 'bahwa', 'data', 'yang', 'guna', 'dalam', 'ambil', 'putus', 'atau', 'analisis', 'bisnis', 'adalah', 'data', 'yang', 'dapat', 'andal', 'dan', 'akurat']",Validasidata
"['apa', 'itu', 'data', 'streamline']","['data', 'streamline', 'rujuk', 'pada', 'proses', 'sederhana', 'alir', 'data', 'agar', 'jadi', 'lebih', 'efisien', 'struktur', 'dan', 'mudah', 'akses']",streamlinedata
"['untuk', 'apa', 'data', 'streamline']","['tuju', 'dari', 'data', 'streamline', 'adalah', 'untuk', 'tingkat', 'efisiensi', 'operasional', 'pasti', 'integritas', 'data', 'dan', 'mungkin', 'akses', 'yang', 'cepat', 'dan', 'mudah', 'untuk', 'perlu', 'analisis', 'bisnis']",streamlinedata
"['gimana', 'si', 'konsultasi', 'data', 'streamline']","['jasa', 'konsultasi', 'data', 'streamline', 'libat', 'nilai', 'dan', 'ancang', 'ulang', 'alur', 'kerja', 'data', 'untuk', 'identifikasi', 'area', 'di', 'mana', 'efisiensi', 'dapat', 'tingkat', 'ini', 'bisa', 'cakup', 'sesuai', 'struktur', 'simpan', 'data', 'optimisasi', 'proses', 'etl', 'atau', 'guna', 'alat', 'khusus', 'yang', 'dukung', 'alir', 'data', 'yang', 'lebih', 'efisien']",streamlinedata
"['jasa', 'seperti', 'apa', 'itu', 'machine', 'learning']","['jasa', 'machine', 'learning', 'cakup', 'terap', 'teknik', 'komputasi', 'untuk', 'mungkin', 'sistem', 'ajar', 'dan', 'tingkat', 'kerja', 'iring', 'waktu', 'tanpa', 'pemrograman', 'ekspisit']",MachineLearning
"['apa', 'yang', 'tawar', 'guna', 'machine', 'learning']","['guna', 'machine', 'learning', 'tawar', 'mampu', 'untuk', 'analis', 'data', 'besar', 'identifikasi', 'pola', 'dan', 'buat', 'prediksi', 'atau', 'putus', 'dasar', 'ajar', 'dari', 'alam', 'belum']",MachineLearning
"['untuk', 'apa', 'usaha', 'butuh', 'machine', 'learning']","['usaha', 'butuh', 'machine', 'learning', 'untuk', 'tingkat', 'efisiensi', 'operasional', 'optimal', 'proses', 'bisnis', 'dan', 'dapat', 'wawas', 'harga', 'dari', 'data', 'yang', 'mereka', 'milik']",MachineLearning
"['machine', 'learning', 'apa', 'yang', 'dapat', 'buat', 'di', 'usaha', 'ini']","['kami', 'tawar', 'machine', 'learning', 'kait', 'marketing', 'and', 'customer', 'analysis', 'by', 'ml', 'fraud', 'or', 'anomaly', 'detection', 'by', 'ml', 'chatbot', 'ai', 'dll']",mlproduk
"['apakah', 'bisa', 'buat', 'machine', 'learning', 'yang', 'lain']","['tentu', 'kami', 'sedia', 'layan', 'buat', 'machine', 'learning', 'yang', 'dapat', 'sesuai', 'dengan', 'butuh', 'khusus', 'anda', 'kami', 'paham', 'bahwa', 'tiap', 'usaha', 'milik', 'tantang', 'dan', 'butuh', 'unik', 'dan', 'kami', 'siap', 'untuk', 'kembang', 'solusi', 'machine', 'learning', 'yang', 'dapat', 'beri', 'nilai', 'tambah', 'cara', 'optimal']",MLlain
"['apakah', 'bisa', 'selain', 'machine', 'learning', 'yang', 'tawar']","['jika', 'anda', 'milik', 'butuh', 'khusus', 'atau', 'jenis', 'machine', 'learning', 'tentu', 'yang', 'tidak', 'cakup', 'dalam', 'produk', 'standar', 'kami', 'kami', 'dapat', 'kerja', 'sama', 'dengan', 'anda', 'untuk', 'rancang', 'dan', 'implementasi', 'solusi', 'yang', 'sesuai', 'dengan', 'butuh', 'spesifik', 'usaha', 'anda']",MLlain
"['apakah', 'bisa', 'machine', 'learning', 'lain']","['kami', 'percaya', 'pada', 'dekat', 'yang', 'sifat', 'kolaboratif', 'di', 'mana', 'kami', 'kerja', 'sama', 'dengan', 'langgan', 'untuk', 'paham', 'visi', 'dan', 'tuju', 'bisnis', 'mereka', 'dan', 'hasil', 'solusi', 'machine', 'learning', 'yang', 'dapat', 'atas', 'tantang', 'yang', 'hadap', 'usaha', 'dengan', 'cara', 'yang', 'paling', 'efektif']",MLlain
"['produk', 'seperti', 'apa', 'marketing', 'and', 'customer', 'analysis', 'by', 'ml']","['kami', 'tawar', 'produk', 'seperti', 'churn', 'customer', 'analytics', 'recommendation', 'product', '', 'conjoint', 'analytics', '', 'a b', 'testing', 'product']",Marketing and Customer Analysis by ML
"['apa', 'itu', 'churn', 'customer', 'analytics']","['churn', 'customer', 'analytics', 'rujuk', 'pada', 'analisis', 'data', 'untuk', 'identifikasi', 'dan', 'paham', 'pola', 'serta', 'faktor', 'yang', 'kontribusi', 'hadap', 'tingkat', 'churn', 'atau', 'putus', 'hubung', 'dengan', 'langgan']",churncustomeranalytics
"['apa', 'yang', 'maksud', 'churn', 'customer', 'analytics']","['dalam', 'konteks', 'ini', 'churn', '', 'acu', 'pada', 'langgan', 'yang', 'henti', 'guna', 'produk', 'atau', 'layan', 'usaha', 'churn', 'customer', 'analytics', 'tuju', 'untuk', 'beri', 'wawas', 'dalam', 'tentang', 'perilaku', 'langgan', 'yang', 'mungkin', 'tanda', 'potensi', 'untuk', 'henti', 'langgan', 'atau', 'henti', 'guna', 'produk']",churncustomeranalytics
"['churn', 'customer', 'analytics']","['dengan', 'analis', 'data', 'langgan', 'seperti', 'pola', 'guna', 'perilaku', 'beli', 'dan', 'interaksi', 'usaha', 'dapat', 'identifikasi', 'indikator', 'churn', 'paham', 'sebab', 'dan', 'ambil', 'langkah', 'untuk', 'cegah', 'atau', 'kurang', 'tingkat', 'churn', 'sebut']",churncustomeranalytics
"['apa', 'yang', 'maksud', 'recommendation', 'product', '', 'conjoint', 'analytics', '']","['recommendation', 'product', '', 'conjoint', 'analytics', '', 'adalah', 'dekat', 'analisis', 'data', 'yang', 'guna', 'untuk', 'beri', 'rekomendasi', 'produk', 'dengan', 'paham', 'preferensi', 'dan', 'prioritas', 'konsumen']",ConjointAnalytics
"['jelas', 'kait', 'recommendation', 'product', '', 'conjoint', 'analytics', '']","['dalam', 'conjoint', 'analytics', 'konsumen', 'beri', 'rangkai', 'pilih', 'produk', 'dengan', 'bagai', 'atribut', 'yang', 'variasi', 'dan', 'mereka', 'minta', 'untuk', 'buat', 'preferensi', 'lalu', 'analisis', 'data', 'ini', 'kita', 'dapat', 'identifikasi', 'atribut', 'produk', 'mana', 'yang', 'lebih', 'harga', 'oleh', 'konsumen']",ConjointAnalytics
"['recommendation', 'product', '', 'conjoint', 'analytics', '']","['dengan', 'paham', 'preferensi', 'konsumen', 'cara', 'lebih', 'dalam', 'usaha', 'dapat', 'hasil', 'rekomendasi', 'produk', 'yang', 'lebih', 'sesuai', 'dengan', 'harap', 'dan', 'butuh', 'pasar', 'hal', 'ini', 'dapat', 'tingkat', 'puas', 'langgan', 'optimal', 'portofolio', 'produk', 'dan', 'bantu', 'dalam', 'kembang', 'strategi', 'pasar', 'yang', 'lebih', 'efektif']",ConjointAnalytics
"['apa', 'yang', 'maksud', 'a b', 'testing']","['a b', 'testing', 'juga', 'kenal', 'bagai', 'split', 'testing', 'adalah', 'metode', 'eksperimen', 'dalam', 'analisis', 'data', 'yang', 'guna', 'untuk', 'banding', 'dua', 'versi', 'atau', 'lebih', 'dari', 'suatu', 'elemen', 'dengan', 'tuju', 'identifikasi', 'versi', 'yang', 'beri', 'hasil', 'yang', 'lebih', 'baik']",A/BTesting
"['jelas', 'kait', 'a b', 'testing']","['dalam', 'konteks', 'bisnis', 'dan', 'pasar', 'a b', 'testing', 'sering', 'guna', 'untuk', 'ukur', 'dampak', 'ubah', 'pada', 'elemen', 'seperti', 'halaman', 'web', 'iklan', 'atau', 'pesan', 'email', 'hadap', 'perilaku', 'guna']",A/BTesting
